tag_name,新聞,部落格,討論區,社群網站,評論,問答網站,影音
人物,1,2531,1,142681,1,0,0
其他,16,6,0,151,0,0,0
品牌,36,187,2721,13792,6676,651,0
地點,0,0,0,9442,35699,0,0
媒體,9426,112,79,3112,108,0,0
政府,113,0,0,1183,11,0,0
活動,1,0,0,278,6,0,0
組織團體,113,22,1,9224,0,0,0
論壇,23,0,14871,340,4,0,0
3C資訊,872,118,1214,3677,3560,71,0
交通工具,10,0,13,381,152,18,0
兩性議題,99,9,104,1273,120,16,0
動漫,18,8,1354,2915,60,7,0
命理宗教,71,13,58,3211,15,16,0
媽咪寶寶,90,24,234,3557,137,10,0
學校系所,30,2,497,781,16,3,0
寵物,61,31,76,9556,82,18,0
居家家具,31,4,18,580,252,0,0
工作職業,197,52,260,773,150,7,0
影劇藝文,724,79,674,6169,82,61,0
影音創作,19,1,15,10583,89,0,0
房屋資訊,200,3,172,803,1995,0,0
才藝學習,1,1,35,624,44,3,0
攝影平面,54,37,43,18488,280,5,0
政治社會,1408,26,263,8597,152,30,0
文字創作,73,46,32,1306,53,0,0
料理烹飪,22,64,15,23302,9,2,0
新聞,7016,60,112,834,24,3,0
旅遊住宿,472,649,550,21598,501,47,0
時尚穿搭,412,93,146,26006,1046,1,0
書評/書籍介紹,41,9,35,723,80,10,0
植物盆栽,24,3,9,596,0,8,0
樂器演奏,0,0,10,946,10,0,0
氣象地理,28,0,5,72,74,6,0
汽機車,421,6,613,2270,3180,15,0
法律知識,10,0,17,680,3,3,0
消費,144,47,219,8467,14687,2,0
潛水釣魚,1,0,13,432,1,0,0
玩具模型,13,0,31,3324,2,7,0
生活分享,247,406,670,48319,238,19,0
生活小物,60,30,56,2035,1063,9,0
知識分享,401,21,140,12169,131,47,0
社會公益,225,11,34,1612,93,0,0
空間設計,59,19,25,580,26,1,0
結婚婚禮,5,3,19,581,0,1,0
繪畫插圖,30,21,8,4500,39,0,0
美妝保養,249,374,88,18693,1727,9,0
美食,401,822,123,37305,6249,40,0
自行車,16,0,198,209,6,0,0
舞蹈,1,0,6,1346,1,0,0
菸酒雪茄,47,1,18,519,0,1,0
親子互動,22,61,10,8377,1,2,0
親子教育,157,143,188,4485,104,23,0
語言翻譯,7,5,35,556,262,6,0
趣味分享,73,2,62,2022,30,0,0
軍事,57,0,35,129,0,1,0
運動健身,347,32,483,11710,457,51,0
醫療健康,627,44,143,3120,1619,24,0
金融理財,1121,64,206,2651,5003,23,0
電器設備,145,12,37,436,131,17,0
電玩遊戲,108,2,7282,7768,2439,13,0
露營登山,2,7,9,713,7,0,0
音樂創作,30,1,31,15516,66,0,0
音樂評論,66,6,814,1372,56,23,0
髮型設計,17,9,9,731,3,1,0
魔術師,0,0,3,71,0,0,0
